"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"1452","3.1_a",2772490.92783513,3208922.52521018,3683965.2876197,4184541.44640553,4723172.82884168,5304089.46893109,5933000.06809356,6616113.52955483,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",36426296.0824917,877.845855612714,48356.7900045722
"1453","3.2_a",2629240.68600566,3052084.60949482,3513218.75806768,3999727.83147316,4523676.69624854,5088728.92696048,5700065.93767321,6363624.53104018,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",34870367.9769637,2982.84359155562,13597.5560581813
"1454","3.2_b",59480.2900355934,69056.4594866546,79513.5956302939,90643.8534740997,102608.407242896,115478.274900188,129383.052288855,144478.643442036,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",790642.576500616,2982.84359155562,308.27895200009
"1455","3.2_c",1737432.86874709,2019495.4801382,2327473.64566699,2650482.2821891,2998438.07510739,3373821.31860235,3780006.94870673,4221022.90694976,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",23108173.5261076,2982.84359155562,9004.65891494956
"1456","3.2_d",9770.07170624956,11340.6730832205,13073.722374753,14930.2985803069,16946.9848966296,19129.5477962616,21487.6310126995,24036.6942279715,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",130715.623678092,2982.84359155562,50.9355600014201
"1457","3.2_e",3960282.42711789,4620638.52951795,5348631.54367537,6122586.44382457,6959719.62021426,7866230.67041012,8851985.9863535,9929684.46701577,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",53659759.6881294,2982.84359155562,20842.5318848051
"1458","3.3_a",70202.8901865591,82030.1481319533,94563.1604055589,107622.513830672,121381.898554125,135870.400242808,151105.568493796,167085.810700732,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",929862.390546204,755.047772377676,1424.94999928944
"1459","3.3_b",4481964.43333385,5191232.16939931,5933382.77588451,6703158.47692904,7505909.51774843,8343598.73646241,9218413.97918536,10131166.3925644,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",57508826.4815073,38.9776436326872,1718870.92170882
"1460","3.4_a",9817869.97178988,11089475.5770465,12399807.1526888,13746061.3902832,15128709.7609743,16548623.0259743,18008096.9462457,19510879.2956544,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",116249523.120657,1314.53546806521,105323.055994373
"1461","3.5_a",3516008.67221029,4059017.65403091,4646433.3319346,5265675.68946509,5928858.45671846,6640168.9763009,7405514.03172196,8231160.44236718,"Adjusted","Botswana","UMIC","Sub-Saharan Africa",45692837.2547494,1314.53546806521,40593.9832271643
