"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"14","2.4_e",933631.061583475,970907.181721736,1010075.60481648,1050594.06624556,1093263.97960151,1137884.09204552,1184165.74327241,1231868.38882479,"Baseline","Afghanistan","LIC","South Asia",8612390.11811148,24.6594459475888,454592.421866667
"15","2.5_a",1581.68028264629,1645.18039551356,1710.80518801892,1776.37672772742,1844.60661476362,1915.99880428815,1991.33270197776,2071.19290545943,"Baseline","Afghanistan","LIC","South Asia",14537.1736203951,0.198728191029943,95257.878155439
"16","2.6_a",5088181.63106281,5287825.70012279,5493921.46179379,5719609.8413406,5950706.05156757,6188461.64083719,6434298.4406951,6689701.59037729,"Baseline","Afghanistan","LIC","South Asia",46852706.3577971,28.7923627198513,2118058.44680951
"17","2.6_b",718073.760797687,746476.84018062,776348.415305418,806733.374063129,838541.662788946,871914.391079481,906995.411353376,943949.792687535,"Baseline","Afghanistan","LIC","South Asia",6609033.64825619,28.7923627198513,298949.004066465
"18","2.6_c",13916148.7916461,14462174.2230983,15025844.9983772,15643101.4758475,16275148.3405017,16925408.5702314,17597770.8664984,18296297.0769493,"Baseline","Afghanistan","LIC","South Asia",128141894.34315,78.746953769573,2118058.44680951
"19","2.6_d",1963927.78859001,2041610.05457297,2123308.64833773,2206411.34351648,2293406.83833407,2384681.06676158,2480627.46437323,2581697.494187,"Baseline","Afghanistan","LIC","South Asia",18075670.6986731,78.746953769573,298949.004066465
"20","2.6_e",141993.325833303,147569.794812564,153306.639563775,159627.427710603,166106.903718966,172768.246319058,179640.702317236,186750.367375303,"Baseline","Afghanistan","LIC","South Asia",1307763.40765081,24.2593521870715,70160.9886683833
"21","2.6_f",714136.124711591,742264.499072265,771483.145460234,802600.162903981,834882.95057875,868406.432465595,903265.226462284,939541.358773004,"Baseline","Afghanistan","LIC","South Asia",6576579.9004277,136.891731053018,62546.0581433227
"22","2.6_g",347230.682779343,361037.111901188,375354.788892435,390656.532627739,406564.309729025,423059.616709887,440125.627047968,457744.575084679,"Baseline","Afghanistan","LIC","South Asia",3201773.24477226,136.891731053018,30436.7815580481
"23","2.7_a",155470.691364534,161511.591699119,167647.707478046,174791.991579343,182028.266184324,189378.887335453,196872.975293425,204529.888471268,"Baseline","Afghanistan","LIC","South Asia",1432231.99940551,19.2170038572119,96975.2838527087
"24","2.7_b",23433.976504722,24344.5167182219,25269.4086816626,26346.2610729618,27436.9791214026,28544.9325358939,29674.5105907034,30828.6311643847,"Baseline","Afghanistan","LIC","South Asia",215879.216389953,2.89656405930016,96975.2838527087
"25","2.7_c",263.369538109363,271.256383946332,279.191597111582,287.6750176479,296.167962961403,304.681797302727,313.24151310054,321.873242210311,"Baseline","Afghanistan","LIC","South Asia",2337.45705239016,2.89656405930016,1063.75848347449
"26","2.7_d",33498.9951183354,34800.1877252121,36125.5201375085,37657.2193108178,39209.1543003908,40786.4431501055,42395.425225696,44041.6697736826,"Baseline","Afghanistan","LIC","South Asia",308514.614741749,2.89656405930016,138602.397709125
"27","2.7_e",194.886226672461,202.419297492445,210.252538444837,218.26544696357,226.621415068757,235.349326959391,244.482537833376,254.040376033567,"Baseline","Afghanistan","LIC","South Asia",1786.3171654684,2.89656405930016,804.153306310383
"28","2.7_f",1001.58130428453,1035.05548994002,1068.95826580749,1106.42540248302,1144.27889687095,1182.5982552062,1221.50178670674,1261.1321047714,"Baseline","Afghanistan","LIC","South Asia",9021.53150607035,2.89656405930016,4084.81144249869
"29","2.7_g",2617.9401233186,2696.33677583677,2775.21420821381,2859.54091951248,2943.96230879304,3028.59133873112,3113.67643851968,3199.47736345695,"Baseline","Afghanistan","LIC","South Asia",23234.7394763824,28.7923627198513,1063.75848347449
"30","2.7_h",332985.978715306,345920.065011548,359094.105273732,374319.467900883,389745.978146339,405424.510277935,421418.078720309,437782.042775936,"Baseline","Afghanistan","LIC","South Asia",3066690.22682199,28.7923627198513,138602.397709125
"31","2.7_i",1937.20380857463,2012.08387440536,2089.94768482209,2169.59742285277,2252.65723428266,2339.41423319492,2430.19997619838,2525.20659046399,"Baseline","Afghanistan","LIC","South Asia",17756.3108247948,28.7923627198513,804.153306310383
"32","2.7_j",9955.89657815117,10288.6359463864,10625.6355776743,10998.0655903207,11374.3360674509,11755.2373152027,12141.9453482774,12535.8777692632,"Baseline","Afghanistan","LIC","South Asia",89675.6301927267,28.7923627198513,4084.81144249869
