Super_region,Region,Country,NCD_region,SDI,World_bank,iso3,LocID,gbd2019
Latin America and Caribbean,Central Latin America,El Salvador,Latin America and Caribbean,Middle SDI,LMIC,SLV,222,El Salvador
Sub-Saharan Africa,Central Sub-Saharan Africa,Equatorial Guinea,Sub-Saharan Africa,Middle SDI,UMIC,GNQ,226,Equatorial Guinea
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Eritrea,Sub-Saharan Africa,Low SDI,LIC,ERI,232,Eritrea
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Estonia,Central and Eastern Europe,High SDI,HIC,EST,233,Estonia
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Ethiopia,Sub-Saharan Africa,Low SDI,LIC,ETH,231,Ethiopia
"Southeast Asia, East Asia, and Oceania",Oceania,Federated States of Micronesia,NA,Low-middle SDI,LMIC,FSM,583,Micronesia (Federated States of)
"Southeast Asia, East Asia, and Oceania",Oceania,Fiji,Oceania,Middle SDI,UMIC,FJI,242,Fiji
High-income,Western Europe,Finland,High-income Western countries,High SDI,HIC,FIN,246,Finland
High-income,Western Europe,France,High-income Western countries,High SDI,HIC,FRA,250,France
Sub-Saharan Africa,Central Sub-Saharan Africa,Gabon,Sub-Saharan Africa,Low-middle SDI,UMIC,GAB,266,Gabon
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Georgia,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,GEO,268,Georgia
High-income,Western Europe,Germany,High-income Western countries,High SDI,HIC,DEU,276,Germany
Sub-Saharan Africa,Western Sub-Saharan Africa,Ghana,Sub-Saharan Africa,Low-middle SDI,LMIC,GHA,288,Ghana
High-income,Western Europe,Greece,High-income Western countries,High SDI,HIC,GRC,300,Greece
High-income,High-income North America,Greenland,NA,High-middle SDI,HIC,GRL,304,Greenland
Latin America and Caribbean,Caribbean,Grenada,NA,Middle SDI,UMIC,GRD,308,Grenada
"Southeast Asia, East Asia, and Oceania",Oceania,Guam,NA,High-middle SDI,HIC,GUM,316,Guam
Latin America and Caribbean,Central Latin America,Guatemala,Latin America and Caribbean,Low-middle SDI,LMIC,GTM,320,Guatemala
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea,Sub-Saharan Africa,Low SDI,LIC,GIN,324,Guinea
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea-Bissau,Sub-Saharan Africa,Low SDI,LIC,GNB,624,Guinea-Bissau
Latin America and Caribbean,Caribbean,Guyana,Latin America and Caribbean,Middle SDI,UMIC,GUY,328,Guyana
Latin America and Caribbean,Caribbean,Haiti,Latin America and Caribbean,Low SDI,LIC,HTI,332,Haiti
Latin America and Caribbean,Central Latin America,Honduras,Latin America and Caribbean,Low-middle SDI,LMIC,HND,340,Honduras
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Hungary,Central and Eastern Europe,High-middle SDI,HIC,HUN,348,Hungary
High-income,Western Europe,Iceland,High-income Western countries,High SDI,HIC,ISL,352,Iceland
South Asia,South Asia,India,South Asia,Low-middle SDI,LMIC,IND,356,India
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Indonesia,East and South East Asia,Middle SDI,LMIC,IDN,360,Indonesia
North Africa and Middle East,North Africa and Middle East,Iran,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,IRN,364,Iran (Islamic Republic of)
North Africa and Middle East,North Africa and Middle East,Iraq,"Central Asia, Middle East and North Africa",Low-middle SDI,UMIC,IRQ,368,Iraq
High-income,Western Europe,Ireland,High-income Western countries,High SDI,HIC,IRL,372,Ireland
High-income,Western Europe,Israel,High-income Western countries,High-middle SDI,HIC,ISR,376,Israel
High-income,Western Europe,Italy,High-income Western countries,High SDI,HIC,ITA,380,Italy
Latin America and Caribbean,Caribbean,Jamaica,Latin America and Caribbean,Middle SDI,UMIC,JAM,388,Jamaica
High-income,High-income Asia Pacific,Japan,High-income Asia Pacific,High SDI,HIC,JPN,392,Japan
North Africa and Middle East,North Africa and Middle East,Jordan,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,JOR,400,Jordan
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kazakhstan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,KAZ,398,Kazakhstan
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Kenya,Sub-Saharan Africa,Low-middle SDI,LMIC,KEN,404,Kenya
"Southeast Asia, East Asia, and Oceania",Oceania,Kiribati,NA,Low SDI,LMIC,KIR,296,Kiribati
North Africa and Middle East,North Africa and Middle East,Kuwait,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,KWT,414,Kuwait
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kyrgyzstan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,KGZ,417,Kyrgyzstan
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Laos,East and South East Asia,Low-middle SDI,LMIC,LAO,418,Lao People's Democratic Republic
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Latvia,Central and Eastern Europe,High SDI,HIC,LVA,428,Latvia
North Africa and Middle East,North Africa and Middle East,Lebanon,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBN,422,Lebanon
Sub-Saharan Africa,Southern Sub-Saharan Africa,Lesotho,Sub-Saharan Africa,Low-middle SDI,LMIC,LSO,426,Lesotho
Sub-Saharan Africa,Western Sub-Saharan Africa,Liberia,Sub-Saharan Africa,Low SDI,LIC,LBR,430,Liberia
North Africa and Middle East,North Africa and Middle East,Libya,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBY,434,Libya
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Lithuania,Central and Eastern Europe,High SDI,HIC,LTU,440,Lithuania
High-income,Western Europe,Luxembourg,High-income Western countries,High SDI,HIC,LUX,442,Luxembourg
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Macedonia,Central and Eastern Europe,High-middle SDI,LMIC,MKD,807,North Macedonia
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Madagascar,Sub-Saharan Africa,Low SDI,LIC,MDG,450,Madagascar
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Malawi,Sub-Saharan Africa,Low SDI,LIC,MWI,454,Malawi
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Malaysia,East and South East Asia,High-middle SDI,UMIC,MYS,458,Malaysia
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Maldives,East and South East Asia,Middle SDI,UMIC,MDV,462,Maldives
Sub-Saharan Africa,Western Sub-Saharan Africa,Mali,Sub-Saharan Africa,Low SDI,LIC,MLI,466,Mali
High-income,Western Europe,Malta,High-income Western countries,High SDI,HIC,MLT,470,Malta
"Southeast Asia, East Asia, and Oceania",Oceania,Marshall Islands,NA,Low-middle SDI,UMIC,MHL,584,Marshall Islands
Sub-Saharan Africa,Western Sub-Saharan Africa,Mauritania,Sub-Saharan Africa,Low-middle SDI,LMIC,MRT,478,Mauritania
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mauritius,Sub-Saharan Africa,High-middle SDI,UMIC,MUS,480,Mauritius
Latin America and Caribbean,Central Latin America,Mexico,Latin America and Caribbean,Middle SDI,UMIC,MEX,484,Mexico
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Moldova,Central and Eastern Europe,Middle SDI,HIC,MDA,498,Republic of Moldova
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Mongolia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,MNG,496,Mongolia
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Montenegro,Central and Eastern Europe,High-middle SDI,UMIC,MNE,499,Montenegro
North Africa and Middle East,North Africa and Middle East,Morocco,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,MAR,504,Morocco
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mozambique,Sub-Saharan Africa,Low SDI,LIC,MOZ,508,Mozambique
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Myanmar,East and South East Asia,Low-middle SDI,LMIC,MMR,104,Myanmar
Sub-Saharan Africa,Southern Sub-Saharan Africa,Namibia,Sub-Saharan Africa,Low-middle SDI,UMIC,NAM,516,Namibia
South Asia,South Asia,Nepal,South Asia,Low-middle SDI,LIC,NPL,524,Nepal
High-income,Western Europe,Netherlands,High-income Western countries,High SDI,HIC,NLD,528,Netherlands
High-income,Australasia,New Zealand,High-income Western countries,High SDI,HIC,NZL,554,New Zealand
Latin America and Caribbean,Central Latin America,Nicaragua,Latin America and Caribbean,Low-middle SDI,LMIC,NIC,558,Nicaragua
Sub-Saharan Africa,Western Sub-Saharan Africa,Niger,Sub-Saharan Africa,Low SDI,LIC,NER,562,Niger
Sub-Saharan Africa,Western Sub-Saharan Africa,Nigeria,Sub-Saharan Africa,Low-middle SDI,LMIC,NGA,566,Nigeria
"Southeast Asia, East Asia, and Oceania",East Asia,North Korea,East and South East Asia,Low-middle SDI,LIC,PRK,408,Democratic People's Republic of Korea
"Southeast Asia, East Asia, and Oceania",Oceania,Northern Mariana Islands,NA,High-middle SDI,HIC,MNP,580,Northern Mariana Islands
High-income,Western Europe,Norway,High-income Western countries,High SDI,HIC,NOR,578,Norway
North Africa and Middle East,North Africa and Middle East,Oman,"Central Asia, Middle East and North Africa",Middle SDI,HIC,OMN,512,Oman
South Asia,South Asia,Pakistan,South Asia,Low-middle SDI,LMIC,PAK,586,Pakistan
North Africa and Middle East,North Africa and Middle East,Palestine,"Central Asia, Middle East and North Africa",Low SDI,LMIC,PSE,NA,Palestine
Latin America and Caribbean,Central Latin America,Panama,Latin America and Caribbean,High-middle SDI,UMIC,PAN,591,Panama
"Southeast Asia, East Asia, and Oceania",Oceania,Papua New Guinea,Oceania,Low SDI,LMIC,PNG,598,Papua New Guinea
Latin America and Caribbean,Tropical Latin America,Paraguay,Latin America and Caribbean,Middle SDI,UMIC,PRY,600,Paraguay
Latin America and Caribbean,Andean Latin America,Peru,Latin America and Caribbean,Middle SDI,UMIC,PER,604,Peru
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Philippines,East and South East Asia,Middle SDI,LMIC,PHL,608,Philippines
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Poland,Central and Eastern Europe,High SDI,HIC,POL,616,Poland
High-income,Western Europe,Portugal,High-income Western countries,High-middle SDI,HIC,PRT,620,Portugal
Latin America and Caribbean,Caribbean,Puerto Rico,Latin America and Caribbean,High SDI,HIC,PRI,630,Puerto Rico
North Africa and Middle East,North Africa and Middle East,Qatar,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,QAT,634,Qatar
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Romania,Central and Eastern Europe,High-middle SDI,UMIC,ROU,642,Romania
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Russian Federation,Central and Eastern Europe,High-middle SDI,UMIC,RUS,643,Russian Federation
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Rwanda,Sub-Saharan Africa,Low SDI,LIC,RWA,646,Rwanda
Latin America and Caribbean,Caribbean,Saint Lucia,NA,Middle SDI,UMIC,LCA,662,Saint Lucia
Latin America and Caribbean,Caribbean,Saint Vincent and the Grenadines,NA,Middle SDI,UMIC,VCT,670,Saint Vincent and the Grenadines
"Southeast Asia, East Asia, and Oceania",Oceania,Samoa,NA,Low-middle SDI,LMIC,WSM,882,Samoa
Sub-Saharan Africa,Western Sub-Saharan Africa,Sao Tome and Principe,NA,Low SDI,LMIC,STP,678,Sao Tome and Principe
North Africa and Middle East,North Africa and Middle East,Saudi Arabia,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,SAU,682,Saudi Arabia
Sub-Saharan Africa,Western Sub-Saharan Africa,Senegal,Sub-Saharan Africa,Low SDI,LIC,SEN,686,Senegal
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Serbia,Central and Eastern Europe,High-middle SDI,UMIC,SRB,688,Serbia
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Seychelles,NA,Middle SDI,HIC,SYC,690,Seychelles
Sub-Saharan Africa,Western Sub-Saharan Africa,Sierra Leone,Sub-Saharan Africa,Low SDI,LIC,SLE,694,Sierra Leone
High-income,High-income Asia Pacific,Singapore,High-income Asia Pacific,High SDI,HIC,SGP,702,Singapore
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovakia,Central and Eastern Europe,High SDI,HIC,SVK,703,Slovakia
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovenia,Central and Eastern Europe,High SDI,HIC,SVN,705,Slovenia
"Southeast Asia, East Asia, and Oceania",Oceania,Solomon Islands,Oceania,Low SDI,LMIC,SLB,90,Solomon Islands
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Somalia,Sub-Saharan Africa,Low SDI,LIC,SOM,706,Somalia
Sub-Saharan Africa,Southern Sub-Saharan Africa,South Africa,Sub-Saharan Africa,Middle SDI,UMIC,ZAF,710,South Africa
High-income,High-income Asia Pacific,South Korea,High-income Asia Pacific,High SDI,HIC,KOR,410,Republic of Korea
Sub-Saharan Africa,Eastern Sub-Saharan Africa,South Sudan,Sub-Saharan Africa,Low SDI,LIC,SSD,728,South Sudan
High-income,Western Europe,Spain,High-income Western countries,High-middle SDI,HIC,ESP,724,Spain
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Sri Lanka,East and South East Asia,Middle SDI,LMIC,LKA,144,Sri Lanka
North Africa and Middle East,North Africa and Middle East,Sudan,Sub-Saharan Africa,Low-middle SDI,LMIC,SDN,729,Sudan
Latin America and Caribbean,Caribbean,Suriname,Latin America and Caribbean,Middle SDI,UMIC,SUR,740,Suriname
Sub-Saharan Africa,Southern Sub-Saharan Africa,Swaziland,Sub-Saharan Africa,Low-middle SDI,LMIC,SWZ,748,Eswatini
High-income,Western Europe,Sweden,High-income Western countries,High SDI,HIC,SWE,752,Sweden
High-income,Western Europe,Switzerland,High-income Western countries,High SDI,HIC,CHE,756,Switzerland
North Africa and Middle East,North Africa and Middle East,Syria,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,SYR,760,Syrian Arab Republic
"Southeast Asia, East Asia, and Oceania",East Asia,Taiwan,East and South East Asia,High SDI,HIC,TWN,158,Taiwan (Province of China)
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Tajikistan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,TJK,762,Tajikistan
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Tanzania,Sub-Saharan Africa,Low SDI,LIC,TZA,834,United Republic of Tanzania
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Thailand,East and South East Asia,Middle SDI,UMIC,THA,764,Thailand
Latin America and Caribbean,Caribbean,The Bahamas,Latin America and Caribbean,High-middle SDI,HIC,BHS,44,Bahamas
Sub-Saharan Africa,Western Sub-Saharan Africa,The Gambia,Sub-Saharan Africa,Low SDI,LIC,GMB,270,Gambia
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Timor-Leste,East and South East Asia,Low-middle SDI,LMIC,TLS,626,Timor-Leste
Sub-Saharan Africa,Western Sub-Saharan Africa,Togo,Sub-Saharan Africa,Low SDI,LIC,TGO,768,Togo
"Southeast Asia, East Asia, and Oceania",Oceania,Tonga,NA,Low-middle SDI,LMIC,TON,776,Tonga
Latin America and Caribbean,Caribbean,Trinidad and Tobago,Latin America and Caribbean,High-middle SDI,HIC,TTO,780,Trinidad and Tobago
North Africa and Middle East,North Africa and Middle East,Tunisia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,TUN,788,Tunisia
North Africa and Middle East,North Africa and Middle East,Turkey,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TUR,792,Turkey
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Turkmenistan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TKM,795,Turkmenistan
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Uganda,Sub-Saharan Africa,Low SDI,LIC,UGA,800,Uganda
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Ukraine,Central and Eastern Europe,High-middle SDI,LMIC,UKR,804,Ukraine
North Africa and Middle East,North Africa and Middle East,United Arab Emirates,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,ARE,784,United Arab Emirates
High-income,Western Europe,United Kingdom,High-income Western countries,High SDI,HIC,GBR,826,United Kingdom
High-income,High-income North America,United States,High-income Western countries,High SDI,HIC,USA,840,United States of America
High-income,Southern Latin America,Uruguay,Latin America and Caribbean,Middle SDI,HIC,URY,858,Uruguay
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Uzbekistan,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,UZB,860,Uzbekistan
"Southeast Asia, East Asia, and Oceania",Oceania,Vanuatu,Oceania,Low-middle SDI,LMIC,VUT,548,Vanuatu
Latin America and Caribbean,Central Latin America,Venezuela,Latin America and Caribbean,Middle SDI,UMIC,VEN,862,Venezuela (Bolivarian Republic of)
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Vietnam,East and South East Asia,Middle SDI,LMIC,VNM,704,Viet Nam
Latin America and Caribbean,Caribbean,"Virgin Islands, U.S.",NA,High SDI,HIC,VIR,850,United States Virgin Islands
North Africa and Middle East,North Africa and Middle East,Yemen,"Central Asia, Middle East and North Africa",Low SDI,LMIC,YEM,887,Yemen
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Zambia,Sub-Saharan Africa,Low-middle SDI,LMIC,ZMB,894,Zambia
Sub-Saharan Africa,Southern Sub-Saharan Africa,Zimbabwe,Sub-Saharan Africa,Low-middle SDI,LIC,ZWE,716,Zimbabwe
