Super_region,Region,Location (GBD),Country (WB),Country (WHO),NCD_region,SDI,World_bank_2015,iso3,LocID,gbd2019
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Comoros,Comoros,Comoros,Sub-Saharan Africa,Low SDI,LIC,COM,174,Comoros
Sub-Saharan Africa,Central Sub-Saharan Africa,Congo,"Congo, Rep.",Congo,Sub-Saharan Africa,Low-middle SDI,LMIC,COG,178,Congo
Latin America and Caribbean,Central Latin America,Costa Rica,Costa Rica,Costa Rica,Latin America and Caribbean,Middle SDI,UMIC,CRI,188,Costa Rica
Sub-Saharan Africa,Western Sub-Saharan Africa,Cote d'Ivoire,Cote d'Ivoire,Côte d'Ivoire,Sub-Saharan Africa,Low SDI,LMIC,CIV,384,Côte d'Ivoire
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Croatia,Croatia,Croatia,Central and Eastern Europe,High SDI,HIC,HRV,191,Croatia
Latin America and Caribbean,Caribbean,Cuba,Cuba,Cuba,Latin America and Caribbean,High-middle SDI,UMIC,CUB,192,Cuba
High-income,Western Europe,Cyprus,Cyprus,Cyprus,High-income Western countries,High SDI,HIC,CYP,196,Cyprus
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Czech Republic,Czech Republic,Czechia,Central and Eastern Europe,High SDI,HIC,CZE,203,Czechia
Sub-Saharan Africa,Central Sub-Saharan Africa,Democratic Republic of the Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,Sub-Saharan Africa,Low SDI,LIC,COD,180,Democratic Republic of the Congo
High-income,Western Europe,Denmark,Denmark,Denmark,High-income Western countries,High SDI,HIC,DNK,208,Denmark
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Djibouti,Djibouti,Djibouti,Sub-Saharan Africa,Low SDI,LMIC,DJI,262,Djibouti
Latin America and Caribbean,Caribbean,Dominica,Dominica,NA,NA,Middle SDI,UMIC,DMA,212,Dominica
Latin America and Caribbean,Caribbean,Dominican Republic,Dominican Republic,Dominican Republic,Latin America and Caribbean,Middle SDI,UMIC,DOM,214,Dominican Republic
Latin America and Caribbean,Andean Latin America,Ecuador,Ecuador,Ecuador,Latin America and Caribbean,Middle SDI,UMIC,ECU,218,Ecuador
North Africa and Middle East,North Africa and Middle East,Egypt,"Egypt, Arab Rep.",Egypt,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,EGY,818,Egypt
Latin America and Caribbean,Central Latin America,El Salvador,El Salvador,El Salvador,Latin America and Caribbean,Middle SDI,LMIC,SLV,222,El Salvador
Sub-Saharan Africa,Central Sub-Saharan Africa,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Middle SDI,UMIC,GNQ,226,Equatorial Guinea
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Eritrea,Eritrea,Eritrea,Sub-Saharan Africa,Low SDI,LIC,ERI,232,Eritrea
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Estonia,Estonia,Estonia,Central and Eastern Europe,High SDI,HIC,EST,233,Estonia
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Ethiopia,Ethiopia,Ethiopia,Sub-Saharan Africa,Low SDI,LIC,ETH,231,Ethiopia
"Southeast Asia, East Asia, and Oceania",Oceania,Federated States of Micronesia,"Micronesia, Fed. Sts.",Micronesia (Fed. States of),NA,Low-middle SDI,LMIC,FSM,583,Micronesia (Federated States of)
"Southeast Asia, East Asia, and Oceania",Oceania,Fiji,Fiji,Fiji,Oceania,Middle SDI,UMIC,FJI,242,Fiji
High-income,Western Europe,Finland,Finland,Finland,High-income Western countries,High SDI,HIC,FIN,246,Finland
High-income,Western Europe,France,France,France,High-income Western countries,High SDI,HIC,FRA,250,France
Sub-Saharan Africa,Central Sub-Saharan Africa,Gabon,Gabon,Gabon,Sub-Saharan Africa,Low-middle SDI,UMIC,GAB,266,Gabon
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Georgia,Georgia,Georgia,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,GEO,268,Georgia
High-income,Western Europe,Germany,Germany,Germany,High-income Western countries,High SDI,HIC,DEU,276,Germany
Sub-Saharan Africa,Western Sub-Saharan Africa,Ghana,Ghana,Ghana,Sub-Saharan Africa,Low-middle SDI,LMIC,GHA,288,Ghana
High-income,Western Europe,Greece,Greece,Greece,High-income Western countries,High SDI,HIC,GRC,300,Greece
High-income,High-income North America,Greenland,Greenland,NA,NA,High-middle SDI,HIC,GRL,304,Greenland
Latin America and Caribbean,Caribbean,Grenada,Grenada,Grenada,NA,Middle SDI,UMIC,GRD,308,Grenada
"Southeast Asia, East Asia, and Oceania",Oceania,Guam,Guam,Guam,NA,High-middle SDI,HIC,GUM,316,Guam
Latin America and Caribbean,Central Latin America,Guatemala,Guatemala,Guatemala,Latin America and Caribbean,Low-middle SDI,LMIC,GTM,320,Guatemala
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea,Guinea,Guinea,Sub-Saharan Africa,Low SDI,LIC,GIN,324,Guinea
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Sub-Saharan Africa,Low SDI,LIC,GNB,624,Guinea-Bissau
Latin America and Caribbean,Caribbean,Guyana,Guyana,Guyana,Latin America and Caribbean,Middle SDI,UMIC,GUY,328,Guyana
Latin America and Caribbean,Caribbean,Haiti,Haiti,Haiti,Latin America and Caribbean,Low SDI,LIC,HTI,332,Haiti
Latin America and Caribbean,Central Latin America,Honduras,Honduras,Honduras,Latin America and Caribbean,Low-middle SDI,LMIC,HND,340,Honduras
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Hungary,Hungary,Hungary,Central and Eastern Europe,High-middle SDI,HIC,HUN,348,Hungary
High-income,Western Europe,Iceland,Iceland,Iceland,High-income Western countries,High SDI,HIC,ISL,352,Iceland
South Asia,South Asia,India,India,India,South Asia,Low-middle SDI,LMIC,IND,356,India
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Indonesia,Indonesia,Indonesia,East and South East Asia,Middle SDI,LMIC,IDN,360,Indonesia
North Africa and Middle East,North Africa and Middle East,Iran,"Iran, Islamic Rep.",Iran (Islamic Republic of),"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,IRN,364,Iran (Islamic Republic of)
North Africa and Middle East,North Africa and Middle East,Iraq,Iraq,Iraq,"Central Asia, Middle East and North Africa",Low-middle SDI,UMIC,IRQ,368,Iraq
High-income,Western Europe,Ireland,Ireland,Ireland,High-income Western countries,High SDI,HIC,IRL,372,Ireland
High-income,Western Europe,Israel,Israel,Israel,High-income Western countries,High-middle SDI,HIC,ISR,376,Israel
High-income,Western Europe,Italy,Italy,Italy,High-income Western countries,High SDI,HIC,ITA,380,Italy
Latin America and Caribbean,Caribbean,Jamaica,Jamaica,Jamaica,Latin America and Caribbean,Middle SDI,UMIC,JAM,388,Jamaica
High-income,High-income Asia Pacific,Japan,Japan,Japan,High-income Asia Pacific,High SDI,HIC,JPN,392,Japan
North Africa and Middle East,North Africa and Middle East,Jordan,Jordan,Jordan,"Central Asia, Middle East and North Africa",Middle SDI,UMIC,JOR,400,Jordan
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kazakhstan,Kazakhstan,Kazakhstan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,KAZ,398,Kazakhstan
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Kenya,Kenya,Kenya,Sub-Saharan Africa,Low-middle SDI,LMIC,KEN,404,Kenya
"Southeast Asia, East Asia, and Oceania",Oceania,Kiribati,Kiribati,Kiribati,NA,Low SDI,LMIC,KIR,296,Kiribati
North Africa and Middle East,North Africa and Middle East,Kuwait,Kuwait,Kuwait,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,KWT,414,Kuwait
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Kyrgyzstan,Kyrgyz Republic,Kyrgyzstan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,KGZ,417,Kyrgyzstan
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Laos,Lao PDR,Lao People's Democratic Republic,East and South East Asia,Low-middle SDI,LMIC,LAO,418,Lao People's Democratic Republic
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Latvia,Latvia,Latvia,Central and Eastern Europe,High SDI,HIC,LVA,428,Latvia
North Africa and Middle East,North Africa and Middle East,Lebanon,Lebanon,Lebanon,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBN,422,Lebanon
Sub-Saharan Africa,Southern Sub-Saharan Africa,Lesotho,Lesotho,Lesotho,Sub-Saharan Africa,Low-middle SDI,LMIC,LSO,426,Lesotho
Sub-Saharan Africa,Western Sub-Saharan Africa,Liberia,Liberia,Liberia,Sub-Saharan Africa,Low SDI,LIC,LBR,430,Liberia
North Africa and Middle East,North Africa and Middle East,Libya,Libya,Libya,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,LBY,434,Libya
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Lithuania,Lithuania,Lithuania,Central and Eastern Europe,High SDI,HIC,LTU,440,Lithuania
High-income,Western Europe,Luxembourg,Luxembourg,Luxembourg,High-income Western countries,High SDI,HIC,LUX,442,Luxembourg
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Macedonia,North Macedonia,North Macedonia,Central and Eastern Europe,High-middle SDI,LMIC,MKD,807,North Macedonia
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Madagascar,Madagascar,Madagascar,Sub-Saharan Africa,Low SDI,LIC,MDG,450,Madagascar
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Malawi,Malawi,Malawi,Sub-Saharan Africa,Low SDI,LIC,MWI,454,Malawi
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Malaysia,Malaysia,Malaysia,East and South East Asia,High-middle SDI,UMIC,MYS,458,Malaysia
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Maldives,Maldives,Maldives,East and South East Asia,Middle SDI,UMIC,MDV,462,Maldives
Sub-Saharan Africa,Western Sub-Saharan Africa,Mali,Mali,Mali,Sub-Saharan Africa,Low SDI,LIC,MLI,466,Mali
High-income,Western Europe,Malta,Malta,Malta,High-income Western countries,High SDI,HIC,MLT,470,Malta
"Southeast Asia, East Asia, and Oceania",Oceania,Marshall Islands,Marshall Islands,NA,NA,Low-middle SDI,UMIC,MHL,584,Marshall Islands
Sub-Saharan Africa,Western Sub-Saharan Africa,Mauritania,Mauritania,Mauritania,Sub-Saharan Africa,Low-middle SDI,LMIC,MRT,478,Mauritania
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mauritius,Mauritius,Mauritius,Sub-Saharan Africa,High-middle SDI,UMIC,MUS,480,Mauritius
Latin America and Caribbean,Central Latin America,Mexico,Mexico,Mexico,Latin America and Caribbean,Middle SDI,UMIC,MEX,484,Mexico
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Moldova,Moldova,Republic of Moldova,Central and Eastern Europe,Middle SDI,HIC,MDA,498,Republic of Moldova
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Mongolia,Mongolia,Mongolia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,MNG,496,Mongolia
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Montenegro,Montenegro,Montenegro,Central and Eastern Europe,High-middle SDI,UMIC,MNE,499,Montenegro
North Africa and Middle East,North Africa and Middle East,Morocco,Morocco,Morocco,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,MAR,504,Morocco
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Mozambique,Mozambique,Mozambique,Sub-Saharan Africa,Low SDI,LIC,MOZ,508,Mozambique
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Myanmar,Myanmar,Myanmar,East and South East Asia,Low-middle SDI,LMIC,MMR,104,Myanmar
Sub-Saharan Africa,Southern Sub-Saharan Africa,Namibia,Namibia,Namibia,Sub-Saharan Africa,Low-middle SDI,UMIC,NAM,516,Namibia
South Asia,South Asia,Nepal,Nepal,Nepal,South Asia,Low-middle SDI,LIC,NPL,524,Nepal
High-income,Western Europe,Netherlands,Netherlands,Netherlands,High-income Western countries,High SDI,HIC,NLD,528,Netherlands
High-income,Australasia,New Zealand,New Zealand,New Zealand,High-income Western countries,High SDI,HIC,NZL,554,New Zealand
Latin America and Caribbean,Central Latin America,Nicaragua,Nicaragua,Nicaragua,Latin America and Caribbean,Low-middle SDI,LMIC,NIC,558,Nicaragua
Sub-Saharan Africa,Western Sub-Saharan Africa,Niger,Niger,Niger,Sub-Saharan Africa,Low SDI,LIC,NER,562,Niger
Sub-Saharan Africa,Western Sub-Saharan Africa,Nigeria,Nigeria,Nigeria,Sub-Saharan Africa,Low-middle SDI,LMIC,NGA,566,Nigeria
"Southeast Asia, East Asia, and Oceania",East Asia,North Korea,"Korea, Dem. People�s Rep.",Dem. People's Republic of Korea,East and South East Asia,Low-middle SDI,LIC,PRK,408,Democratic People's Republic of Korea
"Southeast Asia, East Asia, and Oceania",Oceania,Northern Mariana Islands,Northern Mariana Islands,NA,NA,High-middle SDI,HIC,MNP,580,Northern Mariana Islands
High-income,Western Europe,Norway,Norway,Norway,High-income Western countries,High SDI,HIC,NOR,578,Norway
North Africa and Middle East,North Africa and Middle East,Oman,Oman,Oman,"Central Asia, Middle East and North Africa",Middle SDI,HIC,OMN,512,Oman
South Asia,South Asia,Pakistan,Pakistan,Pakistan,South Asia,Low-middle SDI,LMIC,PAK,586,Pakistan
North Africa and Middle East,North Africa and Middle East,Palestine,West Bank and Gaza,State of Palestine,"Central Asia, Middle East and North Africa",Low SDI,LMIC,PSE,275,Palestine
Latin America and Caribbean,Central Latin America,Panama,Panama,Panama,Latin America and Caribbean,High-middle SDI,UMIC,PAN,591,Panama
"Southeast Asia, East Asia, and Oceania",Oceania,Papua New Guinea,Papua New Guinea,Papua New Guinea,Oceania,Low SDI,LMIC,PNG,598,Papua New Guinea
Latin America and Caribbean,Tropical Latin America,Paraguay,Paraguay,Paraguay,Latin America and Caribbean,Middle SDI,UMIC,PRY,600,Paraguay
Latin America and Caribbean,Andean Latin America,Peru,Peru,Peru,Latin America and Caribbean,Middle SDI,UMIC,PER,604,Peru
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Philippines,Philippines,Philippines,East and South East Asia,Middle SDI,LMIC,PHL,608,Philippines
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Poland,Poland,Poland,Central and Eastern Europe,High SDI,HIC,POL,616,Poland
High-income,Western Europe,Portugal,Portugal,Portugal,High-income Western countries,High-middle SDI,HIC,PRT,620,Portugal
Latin America and Caribbean,Caribbean,Puerto Rico,Puerto Rico,Puerto Rico,Latin America and Caribbean,High SDI,HIC,PRI,630,Puerto Rico
North Africa and Middle East,North Africa and Middle East,Qatar,Qatar,Qatar,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,QAT,634,Qatar
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Romania,Romania,Romania,Central and Eastern Europe,High-middle SDI,UMIC,ROU,642,Romania
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Russian Federation,Russian Federation,Russian Federation,Central and Eastern Europe,High-middle SDI,UMIC,RUS,643,Russian Federation
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Rwanda,Rwanda,Rwanda,Sub-Saharan Africa,Low SDI,LIC,RWA,646,Rwanda
Latin America and Caribbean,Caribbean,Saint Lucia,St. Lucia,Saint Lucia,NA,Middle SDI,UMIC,LCA,662,Saint Lucia
Latin America and Caribbean,Caribbean,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,NA,Middle SDI,UMIC,VCT,670,Saint Vincent and the Grenadines
"Southeast Asia, East Asia, and Oceania",Oceania,Samoa,Samoa,Samoa,NA,Low-middle SDI,LMIC,WSM,882,Samoa
Sub-Saharan Africa,Western Sub-Saharan Africa,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,NA,Low SDI,LMIC,STP,678,Sao Tome and Principe
North Africa and Middle East,North Africa and Middle East,Saudi Arabia,Saudi Arabia,Saudi Arabia,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,SAU,682,Saudi Arabia
Sub-Saharan Africa,Western Sub-Saharan Africa,Senegal,Senegal,Senegal,Sub-Saharan Africa,Low SDI,LIC,SEN,686,Senegal
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Serbia,Serbia,Serbia,Central and Eastern Europe,High-middle SDI,UMIC,SRB,688,Serbia
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Seychelles,Seychelles,Seychelles,NA,Middle SDI,HIC,SYC,690,Seychelles
Sub-Saharan Africa,Western Sub-Saharan Africa,Sierra Leone,Sierra Leone,Sierra Leone,Sub-Saharan Africa,Low SDI,LIC,SLE,694,Sierra Leone
High-income,High-income Asia Pacific,Singapore,Singapore,Singapore,High-income Asia Pacific,High SDI,HIC,SGP,702,Singapore
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovakia,Slovak Republic,Slovakia,Central and Eastern Europe,High SDI,HIC,SVK,703,Slovakia
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovenia,Slovenia,Slovenia,Central and Eastern Europe,High SDI,HIC,SVN,705,Slovenia
"Southeast Asia, East Asia, and Oceania",Oceania,Solomon Islands,Solomon Islands,Solomon Islands,Oceania,Low SDI,LMIC,SLB,90,Solomon Islands
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Somalia,Somalia,Somalia,Sub-Saharan Africa,Low SDI,LIC,SOM,706,Somalia
Sub-Saharan Africa,Southern Sub-Saharan Africa,South Africa,South Africa,South Africa,Sub-Saharan Africa,Middle SDI,UMIC,ZAF,710,South Africa
High-income,High-income Asia Pacific,South Korea,"Korea, Rep.",Republic of Korea,High-income Asia Pacific,High SDI,HIC,KOR,410,Republic of Korea
Sub-Saharan Africa,Eastern Sub-Saharan Africa,South Sudan,South Sudan,South Sudan,Sub-Saharan Africa,Low SDI,LIC,SSD,728,South Sudan
High-income,Western Europe,Spain,Spain,Spain,High-income Western countries,High-middle SDI,HIC,ESP,724,Spain
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Sri Lanka,Sri Lanka,Sri Lanka,East and South East Asia,Middle SDI,LMIC,LKA,144,Sri Lanka
North Africa and Middle East,North Africa and Middle East,Sudan,Sudan,Sudan,Sub-Saharan Africa,Low-middle SDI,LMIC,SDN,729,Sudan
Latin America and Caribbean,Caribbean,Suriname,Suriname,Suriname,Latin America and Caribbean,Middle SDI,UMIC,SUR,740,Suriname
Sub-Saharan Africa,Southern Sub-Saharan Africa,Swaziland,Eswatini,Eswatini,Sub-Saharan Africa,Low-middle SDI,LMIC,SWZ,748,Eswatini
High-income,Western Europe,Sweden,Sweden,Sweden,High-income Western countries,High SDI,HIC,SWE,752,Sweden
High-income,Western Europe,Switzerland,Switzerland,Switzerland,High-income Western countries,High SDI,HIC,CHE,756,Switzerland
North Africa and Middle East,North Africa and Middle East,Syria,Syrian Arab Republic,Syrian Arab Republic,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,SYR,760,Syrian Arab Republic
"Southeast Asia, East Asia, and Oceania",East Asia,Taiwan (Province of China),NA,"China, Taiwan Province of China",East and South East Asia,High SDI,HIC,TWN,158,Taiwan (Province of China)
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Tajikistan,Tajikistan,Tajikistan,"Central Asia, Middle East and North Africa",Low-middle SDI,LMIC,TJK,762,Tajikistan
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Tanzania,Tanzania,United Republic of Tanzania,Sub-Saharan Africa,Low SDI,LIC,TZA,834,United Republic of Tanzania
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Thailand,Thailand,Thailand,East and South East Asia,Middle SDI,UMIC,THA,764,Thailand
Latin America and Caribbean,Caribbean,The Bahamas,"Bahamas, The",Bahamas,Latin America and Caribbean,High-middle SDI,HIC,BHS,44,Bahamas
Sub-Saharan Africa,Western Sub-Saharan Africa,The Gambia,"Gambia, The",Gambia,Sub-Saharan Africa,Low SDI,LIC,GMB,270,Gambia
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Timor-Leste,Timor-Leste,Timor-Leste,East and South East Asia,Low-middle SDI,LMIC,TLS,626,Timor-Leste
Sub-Saharan Africa,Western Sub-Saharan Africa,Togo,Togo,Togo,Sub-Saharan Africa,Low SDI,LIC,TGO,768,Togo
"Southeast Asia, East Asia, and Oceania",Oceania,Tonga,Tonga,Tonga,NA,Low-middle SDI,LMIC,TON,776,Tonga
Latin America and Caribbean,Caribbean,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,Latin America and Caribbean,High-middle SDI,HIC,TTO,780,Trinidad and Tobago
North Africa and Middle East,North Africa and Middle East,Tunisia,Tunisia,Tunisia,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,TUN,788,Tunisia
North Africa and Middle East,North Africa and Middle East,Turkey,Turkey,Turkey,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TUR,792,Turkey
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Turkmenistan,Turkmenistan,Turkmenistan,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,TKM,795,Turkmenistan
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Uganda,Uganda,Uganda,Sub-Saharan Africa,Low SDI,LIC,UGA,800,Uganda
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Ukraine,Ukraine,Ukraine,Central and Eastern Europe,High-middle SDI,LMIC,UKR,804,Ukraine
North Africa and Middle East,North Africa and Middle East,United Arab Emirates,United Arab Emirates,United Arab Emirates,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,ARE,784,United Arab Emirates
High-income,Western Europe,United Kingdom,United Kingdom,United Kingdom,High-income Western countries,High SDI,HIC,GBR,826,United Kingdom
High-income,High-income North America,United States,United States,United States of America,High-income Western countries,High SDI,HIC,USA,840,United States of America
High-income,Southern Latin America,Uruguay,Uruguay,Uruguay,Latin America and Caribbean,Middle SDI,HIC,URY,858,Uruguay
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Uzbekistan,Uzbekistan,Uzbekistan,"Central Asia, Middle East and North Africa",Middle SDI,LMIC,UZB,860,Uzbekistan
