"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"153","Mozambique","LIC","Sub-Saharan Africa","MOZ","Sub-Saharan Africa","LIC","Adjusted",1320.34161773831,1626.35151403241,1954.64395393698,2306.19611037126,2682.87494068113,3086.25890434039,3518.18219580376,3980.68599837798,20475.5352352822
"154","Mozambique","LIC","Sub-Saharan Africa","MOZ","Sub-Saharan Africa","LIC","Baseline",1075.83391074974,1115.98989881452,1158.09209166993,1201.8877065699,1247.76840187082,1295.83803922513,1346.2788378019,1399.293240709,9840.98212741094
"155","Myanmar","LMIC","East and South East Asia","MMR","East and South East Asia","LMIC","Adjusted",225090564.743361,264866807.475976,306742733.357568,352081734.135183,399717506.406751,449658320.254298,501941459.64924,556561089.937965,3056660215.96034
"156","Myanmar","LMIC","East and South East Asia","MMR","East and South East Asia","LMIC","Baseline",193143036.930726,198205926.69553,203276891.110817,209062341.467995,214720235.002075,220276880.941513,225785512.477984,231285771.914423,1695756596.54106
"157","Namibia","UMIC","Sub-Saharan Africa","NAM","Sub-Saharan Africa","UMIC","Adjusted",2603.43072948896,2924.588852579,3268.31361748874,3637.36656402572,4031.21301189871,4451.07467228677,4897.48987443052,5371.14150014425,31184.6188223427
"158","Namibia","UMIC","Sub-Saharan Africa","NAM","Sub-Saharan Africa","UMIC","Baseline",2382.80100665091,2461.44499841811,2546.11555923403,2637.11575879847,2733.20179095604,2834.39621070755,2940.33140117232,3050.79955422401,21586.2062801614
"159","Nepal","LIC","South Asia","NPL","South Asia","LIC","Adjusted",428839.958298311,549550.091327138,679509.868413618,816104.697006308,960959.875529878,1114173.36143117,1275603.84903786,1445312.6083267,7270054.30937098
"160","Nepal","LIC","South Asia","NPL","South Asia","LIC","Baseline",331273.590252653,343211.40523508,355544.667239129,367134.937651846,378657.762996942,390114.435199485,401486.175317434,412866.676898218,2980289.65079079
"161","Nicaragua","LMIC","Latin America and Caribbean","NIC","Latin America and Caribbean","LMIC","Adjusted",93182870.3666462,107797568.907172,123299166.808122,139600491.227716,156811229.412708,174961744.963713,194078796.879689,214190572.10155,1203922440.66732
"162","Nicaragua","LMIC","Latin America and Caribbean","NIC","Latin America and Caribbean","LMIC","Baseline",82138914.1770205,84669524.6053728,87281304.077317,89878045.6891983,92529054.5469818,95236377.6435264,98001700.0298119,100826994.673077,730561915.442305
"163","Niger","LIC","Sub-Saharan Africa","NER","Sub-Saharan Africa","LIC","Adjusted",11841732.7176514,15923939.342343,20305652.963405,25058724.8241319,30167912.7562098,35645309.1937144,41500183.2923848,47740724.9610817,228184180.050922
"164","Niger","LIC","Sub-Saharan Africa","NER","Sub-Saharan Africa","LIC","Baseline",8357727.7473679,8668549.50379656,8990244.39314698,9333603.4605526,9690069.6755067,10059571.3619121,10442161.7915491,10838632.7940546,76380560.7278865
"165","Nigeria","LMIC","Sub-Saharan Africa","NGA","Sub-Saharan Africa","LMIC","Adjusted",53728658.3210457,62702301.6621169,72044922.6402723,82663146.1724415,93822821.591222,105473636.093593,117541705.251262,129932085.64752,717909277.379473
"166","Nigeria","LMIC","Sub-Saharan Africa","NGA","Sub-Saharan Africa","LMIC","Baseline",46867479.85722,48168467.8694481,49415763.3522611,51159370.642009,52863021.4341485,54521503.5396462,56129150.0833686,57680534.0359451,416805290.814046
"167","North Korea","LIC","East and South East Asia","PRK","East and South East Asia","LIC","Adjusted",5315.53489573334,6097.82466817384,6898.3822090368,7717.14565216325,8551.12985353328,9401.67727938128,10272.6963294033,11167.0839780581,65421.4748654832
"168","North Korea","LIC","East and South East Asia","PRK","East and South East Asia","LIC","Baseline",4634.05606294701,4689.87505030805,4743.80804677792,4795.45673652839,4844.50143869115,4892.7448853816,4942.77932920628,4996.06339240983,38539.2849422502
"169","Pakistan","LMIC","South Asia","PAK","South Asia","LMIC","Adjusted",624270489.63171,737265179.345464,856813544.725683,985860771.501123,1121977263.05436,1265323192.26618,1416311776.14385,1575287077.41486,8583109294.08324
"170","Pakistan","LMIC","South Asia","PAK","South Asia","LMIC","Baseline",535107068.731684,551035892.167814,567175510.709747,585012829.006838,602744822.855311,620469814.523027,638408314.331635,656726384.727059,4756680637.05311
"171","Panama","UMIC","Latin America and Caribbean","PAN","Latin America and Caribbean","UMIC","Adjusted",642164842.082099,707499268.68308,776525778.685321,848127218.161649,923359767.402833,1002167539.9997,1084425153.77188,1170127600.58835,7154397169.37491
"172","Panama","UMIC","Latin America and Caribbean","PAN","Latin America and Caribbean","UMIC","Baseline",597277831.852356,614445831.383892,632105377.662254,649254918.508626,666703565.356407,684431403.289508,702386179.720265,720557693.66536,5267162801.43867
"173","Papua New Guinea","LMIC","Oceania","PNG","Oceania","LMIC","Adjusted",156659842.259727,179705230.264444,204108205.544046,230016606.249162,257392870.051783,286266998.846989,316655196.020348,348566083.118519,1979371032.35501
"174","Papua New Guinea","LMIC","Oceania","PNG","Oceania","LMIC","Baseline",139420239.616135,143514290.789677,147735725.697165,152091313.494025,156540687.566041,161083230.863975,165717935.439059,170447962.768157,1236551386.23423
"175","Paraguay","UMIC","Latin America and Caribbean","PRY","Latin America and Caribbean","UMIC","Adjusted",66684114.2297198,74247470.5020295,82142323.7814475,90510371.8489577,99194786.2901944,108189556.04637,117481648.93018,127056015.53114,765506287.160039
