"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"47","Chad","LIC","Sub-Saharan Africa","TCD","Sub-Saharan Africa","LIC","Adjusted",16871384.2364174,21635895.8537926,26703145.7887622,32168192.8779209,37990152.9865352,44179341.6789292,50742792.5764815,57687534.101102,287978440.099941
"48","Chad","LIC","Sub-Saharan Africa","TCD","Sub-Saharan Africa","LIC","Baseline",12846928.0765333,13273166.8339607,13710524.2734615,14185370.9949234,14672788.8486906,15173566.043423,15688275.0040662,16218204.4979259,115768824.572985
"49","China","UMIC","East and South East Asia","CHN","East and South East Asia","UMIC","Adjusted",28892421884.0728,31744444270.9804,34691718180.9035,37802708420.4576,40996798591.6574,44285832140.8752,47674774100.9613,51148054562.3243,317236752152.232
"50","China","UMIC","East and South East Asia","CHN","East and South East Asia","UMIC","Baseline",26644227980.4205,27102727919.0318,27560803549.9035,28064551921.5502,28548741738.8512,29023507943.0759,29495529634.231,29965288159.9057,226405378846.97
"51","Colombia","UMIC","Latin America and Caribbean","COL","Latin America and Caribbean","UMIC","Adjusted",682283389.823852,754697285.392066,831291048.383118,912385441.67837,997597312.602064,1087072469.92739,1180781315.17383,1278738673.24806,7724846936.22875
"52","Colombia","UMIC","Latin America and Caribbean","COL","Latin America and Caribbean","UMIC","Baseline",629016110.115361,642570269.009236,657118647.635315,672578712.040591,688539411.455077,705003561.968407,721912026.580361,739254719.914608,5455993458.71896
"53","Comoros","LIC","Sub-Saharan Africa","COM","Sub-Saharan Africa","LIC","Adjusted",3401439.35800757,4147642.59894476,4938691.1027702,5783264.62289729,6677834.51454944,7625241.29413051,8626180.43294713,9682153.62461273,50882447.5488596
"54","Comoros","LIC","Sub-Saharan Africa","COM","Sub-Saharan Africa","LIC","Baseline",2785534.85061576,2873259.03311087,2963596.9976717,3058345.2892482,3154940.53564704,3254008.3680581,3355334.32313129,3459100.31973366,24904119.7172166
"55","Congo","LMIC","Sub-Saharan Africa","COG","Sub-Saharan Africa","LMIC","Adjusted",1357.77831422206,1562.97822198288,1779.84875834625,2005.59898373722,2243.17111554763,2492.83001166396,2754.699772858,3029.17645352148,17226.0816318795
"56","Congo","LMIC","Sub-Saharan Africa","COG","Sub-Saharan Africa","LMIC","Baseline",1206.91405708628,1248.38698535025,1290.54443601455,1331.26851545195,1372.75548232792,1415.02515332506,1458.02940757996,1501.87623420371,10824.8002713397
"57","Costa Rica","UMIC","Latin America and Caribbean","CRI","Latin America and Caribbean","UMIC","Adjusted",692199628.72727,763423549.647463,837928482.212857,914702279.553237,994336523.218322,1076892407.40264,1162227061.29347,1250261229.40072,7691971161.45599
"58","Costa Rica","UMIC","Latin America and Caribbean","CRI","Latin America and Caribbean","UMIC","Baseline",641447837.180642,658367868.081456,675487822.318184,691973096.004047,708349467.973932,724667651.448523,740951819.917081,757210468.894475,5598456031.81834
"59","Cote d'Ivoire","LMIC","Sub-Saharan Africa","CIV","Sub-Saharan Africa","LMIC","Adjusted",86501136.595414,101338110.280877,116972191.058989,134087138.92505,152180876.65686,171248241.978764,191269512.686172,212201700.392469,1165798908.57459
"60","Cote d'Ivoire","LMIC","Sub-Saharan Africa","CIV","Sub-Saharan Africa","LMIC","Baseline",74858368.7399354,77040651.6619026,79238218.8798481,81834053.419999,84446640.1023763,87073444.0636057,89713960.1172115,92366453.4755736,666571790.460452
"61","Cuba","UMIC","Latin America and Caribbean","CUB","Latin America and Caribbean","UMIC","Adjusted",1491285108.20729,1626825289.75797,1766949382.84249,1910244664.65021,2057296276.08429,2207998512.38732,2361665130.83725,2516809902.76246,15939074267.5293
"62","Cuba","UMIC","Latin America and Caribbean","CUB","Latin America and Caribbean","UMIC","Baseline",1376714554.89973,1393397870.74714,1410393667.24599,1426459710.48347,1442118396.3474,1457333968.05021,1471829961.24411,1485478400.92346,11463726529.9415
"63","Democratic Republic of the Congo","LIC","Sub-Saharan Africa","COD","Sub-Saharan Africa","LIC","Adjusted",162869500.496806,208012278.793819,256267708.896359,307876180.938832,362972346.472098,421745537.451317,484391075.87065,551109473.000424,2755244101.9203
"64","Democratic Republic of the Congo","LIC","Sub-Saharan Africa","COD","Sub-Saharan Africa","LIC","Baseline",125043924.617047,129294766.861883,133718217.427639,138263727.260522,142971828.225164,147862058.720026,152954669.786378,158268772.879015,1128377965.77767
